Date,Time,Source,Raw_Text,Top_5_Terms,Frequencies
2026-03-23,Day: 17:43,BBC,"Trump says Iran and US both 'want to make a deal' and says they'll talk today Oil falls and shares rebound after Trump says talks have been held to end war How an island became ferret free  - thanks; in part; to Woody the wonderdog OnlyFans owner Leonid Radvinsky dies at 43 'It was like the plane got cut in half;' eyewitness to deadly New York airport collision tells BBC Arson attack on Jewish charity ambulances being investigated by UK counter-terror police Is ex-Google boss Matt Brittin the right person to steer the BBC? UK PM Starmer warns against 'false comfort' of thinking Iran war will have 'quick and early end' Ex-teacher accused of Edinburgh school abuse found guilty of sex attack in South Africa Nigerian police arrest 15 after viral videos of alleged sexual assault at festival British couple in Iran prison say situation is 'life-threatening' Ryan Gosling's Project Hail Mary becomes 2026's biggest box office debut UN warns Earth's climate being 'pushed beyond its limits' as El Niño looms Why did US and Israel attack Iran and how long could the war last? Israel to expand ground and air attacks against Hezbollah in Lebanon Iranian missiles injure 180 in towns near Israeli nuclear site Our son loved the outdoors – invisible illness means he now can't walk or talk What we know about the LaGuardia Airport crash Heat pumps work for me - but they're not yet a money saver The Magic Faraway Tree's Andrew Garfield: Our attention is abused by tech companies US weight-loss drugmakers slash prices in fight to win customers Grisly or just country life? The mole photos dividing social media 'We can't justify a £52 lunch': Middle-income families cut back on days out   'Stop; stop; stop': Listen to LaGuardia control tower audio during collision BBC in Cuba as island plunged into darkness Watch: CCTV shows ambulance attack suspects in Golders Green Why is Israel targeting Lebanon's bridges? Escaped capybara spotted by dog walker Jamie Oliver stars in music video for CMAT's song about hating him Germany has a shortage of workers - so it's turning to India for help Meningitis outbreak passes peak; says UK health agency Australia's ABC staff to go on strike for first time in 20 years HK police can now demand phone passwords under new national security rules France's former Socialist Prime Minister Lionel Jospin dies at 88 Kenyan ex-foreign minister resurfaces after abduction fears OnlyFans owner Leonid Radvinsky dies at 43 UN issues new climate warning as El Niño looms Germany has a shortage of workers - so it's turning to India for help Ryan Gosling's Project Hail Mary becomes 2026's biggest box office debut Oil falls and shares rebound after Trump says talks have been held to end war 'We can't justify a £52 lunch': Middle-income families cut back on days out   What we know about the LaGuardia Airport crash How an island became ferret free  - thanks; in part; to Woody the wonderdog Grisly or just country life? The mole photos dividing social media HS2 trains could run slower than planned to save money Sacking McCullum would have been 'easy' - ECB chief White gets first England call-up since 2022 Sunderland not very good compared with Newcastle - Gordon Ex-France and West Ham midfielder Payet retires Will 'risky' Gattuso lead Italy back to World Cup? Why in-form Fitzpatrick's game puts him among Masters favourites What is Russo's best position? Sign up to News Briefing Energy prices fall and stock markets rebound after the US president says ""very good and productive"" talks have been held. More than 400 traps were laid across the island in a  £4.5m project which featured a specially-trained detection dog called Woody. Leo Radvinsky became a billionaire after investing in the site; known for its pornographic content. Two pilots were killed when an Air Canada plane collided with a firefighting vehicle at LaGuardia Airport. The prime minister condemns the ""horrific antisemitic attack""; while the health secretary says replacement ambulances will be loaned to the Hatzola charity. BBC media editor Katie Razzall says the former Google exec has been chosen for his insider knowledge of big tech. The PM is being asked questions at the Liaison Committee which meets three times a year to ask about government policy. Conflict has spread across the Middle East since the US and Israel launched strikes on Iran on 28 February.  There are fears in Lebanon that Israel is preparing for a large-scale ground invasion. Israel is investigating how ballistic missiles got through the country's sophisticated air defences. Two pilots have died after a passenger plane collided with a fire truck at New York's LaGuardia Airport. The government wants Britons to embrace heat pumps. But will they ever make financial sense for the average user? Garfield stars alongside Claire Foy and Nicola Coughlan in an adaptation of Enid Blyton's The Magic Faraway Tree. Weight-loss drug prices are falling in the US - but can the example be repeated? A hill walker shares a snap of moles hanging on barbed wire and is surprised by the huge response. A household with an average gross income of £55;000 has cut spending on leisure activities by £40 a week; offical figures suggest. The European nation; struggling to find skilled staff; is giving jobs to young people from India. ""We could still see cases continuing to come in; we need to keep an eye on those; the UKHSA says.  The 24-hour long strike is expected to disrupt live television and radio broadcasts. Those who do not comply can be jailed for up to a year and fined up to HK$100;000 ($12;700; £9;600). Jospin was head of government from 1997 to 2002 and is credited with bringing in the 35-hour working week. The reported disappearance of Raphael Tuju had led to claims he may have been abducted. Arsenal defender Ben White is added to the England squad for the friendlies against Uruguay and Japan this month. Anthony Gordon says Newcastle United's defeat by rivals Sunderland is ""not good enough"" because the Black Cats are ""not very good"" compared with the Magpies.  Former France and West Ham attacking midfielder Dimitri Payet says his retirement from a 20-year professional career ""is the end of a beautiful journey"". Is Gennaro Gattuso ready to guide Italy; who have not qualified for a World Cup since 2014; to the finals in the USA; Canada and Mexico this summer? Matt Fitzpatrick's third US PGA Tour title comes off the back of posting impressive stats in bedrock categories essential to success at Augusta as the Masters moves into view; writes Iain Carter. Arsenal's Alessia Russo has excelled as a number nine and a number 10 this season; but where is she most effective? News and expert analysis for every schedule. Get morning and evening editions of our flagship newsletter in your inbox.","israel, iran, airport, attack, laguardia","6, 5, 5, 5, 5"
2026-03-23,Day: 17:43,CNBC,Only 2 megacap tech names are on Josh Brown's best stocks list. Why they are in a tough spot Why some job seekers are spending thousands on reverse recruiters to find work These stocks should see the biggest rally if oil prices are done surging Synopsys shares rally as Elliott builds multi-billion stake in chip design firm BlackRock’s Larry Fink says missing the market's best days can halve returns U.S. execs revamp China market push as trade truce lingers Delta has outperformed since Iran war began. Using options to hedge Fed's Goolsbee says he's worried about inflation in 'fraught but intense' climate Pfizer to seek approval for Lyme disease vaccine candidate despite trial miss Blue Owl Capital still a buy but will remain choppy through Labor Day; TD Cowen says Is this the Trump 'TACO' trade Wall Street has been waiting for? Watch Energy Secretary Wright discuss Iran war after Trump postpones power plant strikes Jim Cramer's top 10 things to watch in the stock market Monday Stop asking AI chatbots about your workplace problems; psychologist says U.S.-Iran talks; ICE in airports and more: Morning Squawk Monday's biggest analyst calls: Nvidia; Apple; Tesla; AT&T; Dell; Levi's; Valvoline; MongoDB  The uneven cost of tariffs: Why some households will pay more than others Danone to buy protein shake maker Huel as health nutrition craze drives demand shift Warren questions DOD about Anthropic blacklist that 'appears to be retaliation' Buy this auto services stock as worries of higher oil prices are overblown; says Stifel Stocks making the biggest moves premarket:Airlines; cruises; oil stocks & more ICE deployed to some U.S. airports as long security lines persist Trump tells CNBC he is pausing some strikes for five days after talks with Iran AI tailwinds will drive gains for this software stock; Mizuho says Gold miners' bull run squeezed as prices plummet and energy costs soar 10-year Treasury yield falls after Trump halts strikes against Iran Indian generic makers trigger price war in GLP-1 drugs — How vulnerable is Novo? More than 40 Middle East energy assets ‘severely damaged;’ IEA chief says Gold and silver losses ease as Trump postpones Iran energy strikes CNBC Daily Open: clock ticks on Trump's Hormuz ultimatum  European stocks stage rebound as Trump signals Iran war de-escalation Oil tumbles after Trump puts hold on U.S. strikes against Iran energy infrastructure Iran threatens U.S. Treasury buyers as Trump’s 48-hour ultimatum looms CNBC Daily Open: Trump issues Strait of Hormuz ultimatum  Asia markets tumble as Middle East conflict spiral with no sign of abating,"iran, trump, stocks, energy, strikes","8, 8, 5, 5, 5"
2026-03-23,Day: 17:43,Al Jazeera,Which countries have strategic oil reserves – and how much? Trump deploys ICE agents to US airports amid staffing issues; delays Energy; water; bonds: What are Iran’s targets if Trump hits power plants? Trump speaks after announcing delay on Iran attacks The Take: How the Iran war is about to hit your wallet ‘False flag attack’: Iran denies claims it fired missiles at Diego Garcia ‘Substantial evidence’ of double-tap strike in killing of Hind Rajab Trump shares SNL skit mocking Starmer as he speaks to UK PM over Iran war UK police investigate Jewish charity ambulance arson as hate crime Has Iran brought down an ‘unkillable’ US F-35 jet? Trump says Iran; US seeking ‘deal’ after he pauses strikes on power plants Iraq pulled into Iran war as US targets Iran-aligned groups Threats over Iran war bare Trump efforts to transform free speech: Analysts Israeli settlers rampage through West Bank towns for second night in a row ‘Unprecedented’: Israel; US carry out extensive strikes across Iran Iran war: What’s happening on day 24 of US-Israel attacks? World in energy crisis worse than 1970s’ oil shocks combined; IEA head says MLS: Messi scores for Inter Miami in 3-2 victory at NYCFC Two killed when Air Canada jet hits fire truck at New York’s LaGuardia Members of the International Energy Agency have agreed to release 400 million barrels of oil from strategic reserves. The supersonic fighter jet is designed to avoid detection by radar and other technologies. The US president’s announcement comes after he holds ‌’good and productive conversations’ with Tehran. Iraq is increasingly caught between the US and Iran as the regional war escalates; deepening economic woes. Threat to punish broadcasters for coverage not in ‘public interest’ comes amid wider roll-backs; analysts say. The violence comes as Israel continues its push to expand control over Palestinian territory. Tehran hit by ‘wide-scale wave of strikes’ as US President Trump extends deadline for Iran to reopen Strait of Hormuz. The region is on edge as Trump’s deadline for Iran to reopen the Strait of Hormuz or face attacks on power plants nears. Energy crunch prompted by Iran war poses ‘major threat’ to global economy; Fatih Birol says. The Argentinian star forward records his 901st career goal as Inter Miami beat New York City FC at Yankee Stadium. Airport is closed and flights diverted after aircraft operated by Jazz Aviation strikes firefighting truck on runway.,"iran, trump, war, energy, strikes","14, 7, 7, 4, 4"
